brand,model_year,fuel_type,transmission,ext_col,accident,Country_of_Origin,Engine_CC,Mileage_KM,Price_USD,base_model
Mercedes-Benz,2016,Gasoline,Automatic,Black,Clean,Germany,4000.0,99779,40000.0,Amg C
Land,2006,Gasoline,Automatic,Red,Accident Reported,UK,4400.0,247586,9950.0,Rover Lr3
BMW,2019,Gasoline,Automatic,Other,Clean,Germany,3000.0,56726,53998.0,X7 Xdrive40I
Ford,2015,Gasoline,Automatic,White,Clean,USA,2500.0,312943,9888.0,Transit Connect
Lexus,2021,Gasoline,Automatic,White,Clean,Japan,5700.0,33796,89999.0,Lx 570
Dodge,2006,Gasoline,Automatic,Red,Clean,USA,5700.0,350836,12990.0,Ram 2500
Nissan,2021,Gasoline,Automatic,Silver,Accident Reported,Japan,5600.0,109113,36500.0,Armada Sl
Porsche,2014,Gasoline,Automatic,Red,Accident Reported,Germany,2700.0,127138,42999.0,Cayman
Mercedes-Benz,2022,Hybrid,Automatic,Other,Clean,Germany,3000.0,40082,63998.0,Gle 450
Chevrolet,2006,Gasoline,Automatic,White,Accident Reported,USA,5300.0,107568,12000.0,Monte Carlo
BMW,2013,Gasoline,Automatic,Blue,Clean,Germany,4400.0,138403,32000.0,M5
Hyundai,2023,Gasoline,Automatic,Other,Clean,South Korea,2000.0,1053,34599.0,Kona N
Chevrolet,2005,Gasoline,Automatic,Black,Clean,USA,3800.0,120700,12500.0,Monte Carlo
Land,2015,Gasoline,Automatic,Beige,Accident Reported,UK,2000.0,135185,22800.0,Rover Range
Audi,2017,Gasoline,Automatic,Gray,Clean,Germany,4000.0,84490,39999.0,S7 4.0T
GMC,2011,Gasoline,Automatic,Silver,Clean,USA,3600.0,193121,7500.0,Acadia Slt-1
Alfa,2020,Gasoline,Automatic,Other,Clean,Italy,2000.0,30038,35645.0,Romeo Stelvio
Kia,2017,Gasoline,Automatic,Black,Accident Reported,South Korea,5000.0,58718,23950.0,K900 5.0L
Ford,2013,Flex Fuel,Automatic,Black,Clean,USA,5400.0,260874,12500.0,E150 Xlt
Toyota,2022,Gasoline,Automatic,Silver,Clean,Japan,4000.0,45668,36999.0,4Runner Sr5
Subaru,2020,Gasoline,Automatic,Black,Clean,Japan,2500.0,52696,24000.0,Forester
Porsche,2012,Gasoline,Automatic,White,Accident Reported,Germany,3600.0,86904,26000.0,Panamera 2
Toyota,2008,Gasoline,Automatic,Silver,Accident Reported,Japan,4000.0,325175,8500.0,Tacoma Prerunner
RAM,2019,Diesel,Automatic,Black,Clean,USA,6700.0,104607,65000.0,2500 Laramie
Kia,2022,Gasoline,Automatic,Red,Clean,South Korea,2400.0,15588,30990.0,Sportage Nightfall
Cadillac,2010,Gasoline,Automatic,White,Clean,USA,4600.0,79855,10499.0,Dts
Toyota,1997,Gasoline,Automatic,White,Clean,Japan,4500.0,342789,26500.0,Land Cruiser
Lexus,2023,Gasoline,Automatic,Black,Clean,Japan,2400.0,1320,51998.0,Nx 350
Audi,2021,Gasoline,Automatic,Blue,Clean,Germany,2000.0,109435,36499.0,Q7 45
Lexus,1999,Gasoline,Automatic,White,Clean,Japan,4700.0,131966,25000.0,Lx 470
GMC,2022,Gasoline,Automatic,White,Clean,USA,1500.0,44019,27785.0,Terrain Sle
Ford,2012,Gasoline,Automatic,White,Accident Reported,USA,2500.0,207605,7000.0,Escape
Lexus,2014,Gasoline,Automatic,White,Accident Reported,Japan,4600.0,171766,30000.0,Ls 460
Ford,2019,Gasoline,Automatic,White,Clean,USA,3500.0,55799,45500.0,Expedition Platinum
Chevrolet,2010,Gasoline,Automatic,Beige,Clean,USA,3600.0,89962,8950.0,Malibu Ltz
Audi,2015,Gasoline,Automatic,White,Clean,Germany,2000.0,131966,17000.0,A5
Genesis,2023,Gasoline,Automatic,Other,Clean,South Korea,2000.0,7701,42850.0,G70
Chevrolet,2021,Gasoline,Automatic,Blue,Clean,USA,1300.0,32987,22999.0,Trailblazer Ls
Scion,2013,Gasoline,Automatic,Silver,Accident Reported,Japan,2500.0,285819,7100.0,Tc
Lincoln,2014,Hybrid,Automatic,Blue,Clean,USA,2000.0,126443,15500.0,Mkz Hybrid
Ford,2018,Flex Fuel,Automatic,White,Clean,USA,3700.0,152887,43000.0,Transit-350 Xl
Ford,2021,Gasoline,Automatic,Gray,Accident Reported,USA,2300.0,40620,39951.0,Explorer Timberline
Volvo,2011,Gasoline,Automatic,Blue,Accident Reported,Sweden,3200.0,142105,11500.0,Xc90 3.2
Chevrolet,2013,Flex Fuel,Automatic,Silver,Accident Reported,USA,5300.0,157715,27499.0,Avalanche Ltz
Audi,2018,Gasoline,Automatic,Gray,Clean,Germany,2500.0,33273,76000.0,Tt Rs
Lincoln,2008,Gasoline,Automatic,Black,Clean,USA,5400.0,152887,10900.0,Navigator L
Hyundai,2010,Gasoline,Automatic,Blue,Accident Reported,South Korea,2000.0,172199,6250.0,Elantra Gls
Audi,2016,Gasoline,Automatic,Black,Accident Reported,Germany,3000.0,96560,24700.0,Sq5 3.0T
Mitsubishi,2012,Gasoline,Manual,Black,Clean,Japan,2000.0,53108,34999.0,Lancer Evolution
Mercedes-Benz,2016,Gasoline,Automatic,White,Clean,Germany,6000.0,174613,63500.0,Maybach S
Mercedes-Benz,2018,Gasoline,Automatic,Black,Clean,Germany,4700.0,119770,44798.0,Gls 550
Chevrolet,2019,Gasoline,Automatic,Silver,Clean,USA,3600.0,89513,34562.0,Blazer Premier
Mazda,2021,Gasoline,Automatic,Silver,Accident Reported,Japan,2500.0,75167,32541.0,Cx-9 Grand
Ford,2022,Gasoline,Automatic,White,Clean,USA,3500.0,42648,65900.0,Expedition Max
Nissan,2020,Gasoline,Automatic,Black,Clean,Japan,5600.0,16095,47214.0,Titan Xd
Lexus,2019,Gasoline,Automatic,Black,Clean,Japan,5700.0,30658,76900.0,Lx 570
Chevrolet,2020,Gasoline,Automatic,White,Clean,USA,3600.0,83686,35800.0,Traverse Premier
Mercedes-Benz,2014,Diesel,Automatic,Black,Accident Reported,Germany,3000.0,104607,54999.0,Sprinter High
BMW,2004,Gasoline,Automatic,Black,Clean,Germany,3000.0,225308,6730.0,X5 3.0I
Ford,2018,Gasoline,Automatic,Blue,Accident Reported,USA,1500.0,121666,14950.0,Fusion
Lincoln,2015,Gasoline,Automatic,Beige,Clean,USA,2000.0,188763,12000.0,Mkz
Genesis,2017,Gasoline,Automatic,White,Clean,South Korea,5000.0,41843,33600.0,G90 5.0
Ford,2014,Gasoline,Manual,Black,Clean,USA,5800.0,25152,61900.0,Shelby Gt500
Saturn,2008,Gasoline,Automatic,Silver,Clean,USA,2400.0,24172,18500.0,Sky
Toyota,2016,Gasoline,Automatic,Silver,Clean,Japan,5700.0,81048,65998.0,Land Cruiser
Mercedes-Benz,2013,Gasoline,Automatic,Black,Accident Reported,Germany,4600.0,185074,36000.0,Sl-Class Sl
Porsche,2005,Gasoline,Manual,Silver,Clean,Germany,3800.0,45866,63500.0,911 Carrera
Mercedes-Benz,2018,Gasoline,Automatic,White,Clean,Germany,2000.0,83203,32000.0,Amg Gla
Ford,2008,Gasoline,Automatic,Blue,Clean,USA,3500.0,239710,3900.0,Taurus X
BMW,2018,Gasoline,Automatic,White,Accident Reported,Germany,3000.0,63247,31750.0,440 Gran
Honda,2008,Gasoline,Manual,Black,Clean,Japan,2200.0,132486,28500.0,S2000 Cr
Acura,2023,Gasoline,Automatic,Other,Clean,Japan,1500.0,5752,34998.0,Integra W/A-Spec
Ford,2001,Gasoline,Automatic,Green,Clean,USA,6800.0,175993,12749.0,Excursion
Mercedes-Benz,2004,Gasoline,Automatic,White,Clean,Germany,5000.0,74030,18853.0,Sl-Class Sl500
Infiniti,2007,Gasoline,Manual,Gray,Clean,Japan,3500.0,59707,16900.0,G35
Volkswagen,2016,Gasoline,Manual,Silver,Clean,Germany,2000.0,143231,14500.0,Golf Gti
Dodge,2022,Gasoline,Automatic,Other,Clean,USA,6400.0,1996,53900.0,Challenger R/T
Lincoln,2019,Gasoline,Automatic,Black,Accident Reported,USA,3500.0,107943,47999.0,Navigator L
Ford,2018,Gasoline,Automatic,Other,Clean,USA,3500.0,159317,34998.0,Expedition
Volkswagen,2012,Gasoline,Automatic,Black,Clean,Germany,3600.0,199260,5000.0,Routan
Toyota,2020,Gasoline,Automatic,Black,Accident Reported,Japan,3500.0,98719,34084.0,Highlander
Honda,2016,Gasoline,Automatic,Black,Clean,Japan,2000.0,155258,15599.0,Civic Lx
Jeep,2017,Gasoline,Automatic,Black,Clean,USA,3600.0,106389,31331.0,Wrangler Unlimited
Land,2008,Gasoline,Automatic,Black,Clean,UK,4200.0,183927,9900.0,Rover Range
Acura,2015,Gasoline,Automatic,Gold,Clean,Japan,2000.0,120700,14500.0,Ilx 2.0L
BMW,2016,Gasoline,Automatic,Black,Accident Reported,Germany,3000.0,113590,35000.0,X6 Sdrive35I
Porsche,2014,Gasoline,Automatic,Black,Clean,Germany,3400.0,53250,49750.0,Cayman S
Lincoln,2021,Plug-In Hybrid,Automatic,Silver,Clean,USA,2500.0,2977,49000.0,Corsair Grand
Cadillac,2008,Gasoline,Automatic,White,Clean,USA,4600.0,151527,10500.0,Dts Luxury
Cadillac,2016,Gasoline,Automatic,Red,Clean,USA,3600.0,40234,17999.0,Ats 3.6L
GMC,2016,Gasoline,Automatic,Gray,Clean,USA,5300.0,160129,27995.0,Sierra 1500
Infiniti,2009,Gasoline,Automatic,Blue,Clean,Japan,3700.0,255183,8750.0,G37 X
Ford,2023,Gasoline,Automatic,Black,Clean,USA,3500.0,32187,78499.0,Transit-350 Xlt
Cadillac,2018,Gasoline,Automatic,Silver,Accident Reported,USA,3600.0,75174,20850.0,Xts Luxury
Nissan,2017,Gasoline,Automatic,Black,Clean,Japan,5600.0,74828,41000.0,Nv Passenger
Mercedes-Benz,2019,Gasoline,Automatic,Silver,Clean,Germany,3000.0,31865,53800.0,Gls 450
Toyota,2008,Gasoline,Automatic,Black,Accident Reported,Japan,5700.0,281634,37900.0,Land Cruiser
Toyota,2016,Gasoline,Automatic,White,Clean,Japan,5700.0,98974,63500.0,Land Cruiser
RAM,2016,Gasoline,Automatic,Black,Clean,USA,3600.0,80065,65000.0,Promaster 2500
Lincoln,2011,Gasoline,Automatic,Black,Clean,USA,3500.0,134806,8995.0,Mkz
Alfa,2022,Gasoline,Automatic,Other,Clean,Italy,2900.0,3164,75900.0,Romeo Giulia
Chevrolet,2021,Gasoline,Automatic,Blue,Clean,USA,1200.0,81510,23995.0,Trailblazer Lt
Infiniti,2013,Gasoline,Automatic,White,Accident Reported,Japan,3700.0,96654,15000.0,G37 X
Maserati,2017,Gasoline,Automatic,Black,Clean,Italy,3000.0,87585,33950.0,Levante S
Toyota,2022,Gasoline,Automatic,Other,Clean,Japan,3500.0,38626,47498.0,Highlander
Nissan,2022,Gasoline,Automatic,White,Clean,Japan,5600.0,23714,50998.0,Armada Sl
Audi,2023,Hybrid,Automatic,Black,Clean,Germany,2000.0,3903,42998.0,Q5
Ford,2022,Gasoline,Automatic,Gray,Clean,USA,5200.0,3299,94999.0,Shelby Gt500
Lincoln,2019,Gasoline,Automatic,Silver,Clean,USA,3500.0,104374,46995.0,Navigator L
RAM,2022,Gasoline,Automatic,Blue,Clean,USA,5700.0,29050,47995.0,1500 Laramie
Lincoln,2004,Gasoline,Automatic,Black,Clean,USA,4600.0,58780,14900.0,Town Car
Acura,2022,Gasoline,Automatic,Silver,Clean,Japan,2000.0,23973,39998.0,Tlx W/A-Spec
Toyota,2022,Hybrid,Automatic,Black,Clean,Japan,2500.0,22608,29999.0,Camry Hybrid
Honda,2003,Gasoline,Manual,Black,Clean,Japan,2400.0,360492,3900.0,Cr-V Ex
Mercedes-Benz,2014,Gasoline,Automatic,Gray,Clean,Germany,4700.0,129682,26000.0,E-Class E
Mazda,2007,Gasoline,Manual,Red,Accident Reported,Japan,2000.0,131000,11000.0,Mx-5 Miata
Porsche,2019,Gasoline,Automatic,Gray,Clean,Germany,2000.0,10783,63000.0,718 Boxster
Ford,2015,Gasoline,Automatic,Silver,Clean,USA,3700.0,230136,22500.0,Transit-350 Xlt
Kia,2017,Gasoline,Automatic,Other,Clean,South Korea,2000.0,141368,18688.0,Sportage Sx
Infiniti,2010,Gasoline,Manual,White,Clean,Japan,3700.0,187409,16500.0,G37 S
Nissan,2019,Gasoline,Automatic,Red,Clean,Japan,5600.0,86385,27900.0,Titan Xd
Audi,2021,Hybrid,Automatic,Gray,Clean,Germany,2900.0,19312,77500.0,S7 2.9T
Land,2019,Gasoline,Automatic,Other,Clean,UK,3000.0,32242,43998.0,Rover Discovery
Ford,2020,Diesel,Automatic,Black,Clean,USA,2000.0,51499,68000.0,Transit-350 Xlt
Infiniti,2014,Gasoline,Automatic,Black,Clean,Japan,3700.0,113156,19995.0,Q70 3.7
Jeep,2022,Gasoline,Automatic,White,Clean,USA,3600.0,14153,54000.0,Gladiator Rubicon
Lincoln,2010,Gasoline,Automatic,Black,Accident Reported,USA,3500.0,251057,5900.0,Mkx
Mercedes-Benz,2018,Gasoline,Automatic,Gray,Accident Reported,Germany,3000.0,107987,34250.0,Amg C
Porsche,2014,Gasoline,Automatic,Blue,Accident Reported,Germany,2700.0,83686,37000.0,Cayman
Acura,2011,Gasoline,Automatic,White,Clean,Japan,3700.0,220801,12000.0,Mdx 3.7L
Volkswagen,2018,Gasoline,Automatic,White,Accident Reported,Germany,2000.0,57936,32000.0,Golf R
Kia,2023,Gasoline,Automatic,White,Accident Reported,South Korea,2000.0,24945,24500.0,Forte Gt-Line
BMW,2020,Gasoline,Automatic,Other,Clean,Germany,4400.0,17551,96998.0,M8 Competition
Lincoln,2019,Gasoline,Automatic,Other,Clean,USA,2000.0,80168,26545.0,Mkc Select
BMW,2015,Plug-In Hybrid,Automatic,White,Clean,Germany,1500.0,1362,86999.0,I8
Toyota,2021,Gasoline,Automatic,Blue,Clean,Japan,3500.0,107889,34645.0,Highlander
Mazda,2023,Gasoline,Automatic,Other,Clean,Japan,2500.0,4242,28535.0,Cx-30 Package
Porsche,2018,Gasoline,Automatic,White,Accident Reported,Germany,3600.0,80734,43550.0,Cayenne Platinum
Lincoln,2017,Gasoline,Automatic,Blue,Clean,USA,3000.0,60149,27500.0,Mkz Reserve
Porsche,2019,Gasoline,Automatic,Red,Accident Reported,Germany,2500.0,15289,69000.0,718 Cayman
Chevrolet,2005,Gasoline,Automatic,Red,Clean,USA,6000.0,230289,16000.0,Corvette
Acura,2002,Gasoline,Manual,Beige,Accident Reported,Japan,2000.0,128747,8500.0,Rsx Type
Porsche,2007,Gasoline,Manual,Black,Clean,Germany,3400.0,9424,45000.0,Cayman S
Audi,2022,Gasoline,Automatic,Other,Clean,Germany,4000.0,46553,74900.0,Sq7 4.0T
Honda,2021,Gasoline,Automatic,White,Clean,Japan,3500.0,23242,38500.0,Ridgeline Rtl-E
Mercedes-Benz,2005,Gasoline,Automatic,Silver,Clean,Germany,5000.0,102998,12995.0,Clk-Class 500
Lexus,2004,Gasoline,Automatic,White,Accident Reported,Japan,4700.0,247838,10000.0,Gx 470
Lexus,2015,Gasoline,Automatic,White,Clean,Japan,2000.0,86904,27000.0,Nx 200T
Dodge,2007,Gasoline,Automatic,Silver,Accident Reported,USA,3700.0,374159,6000.0,Dakota Slt
Maserati,2020,Gasoline,Automatic,Blue,Clean,Italy,3000.0,41394,52645.0,Ghibli S
Land,2020,Gasoline,Automatic,White,Clean,UK,2000.0,33679,35998.0,Rover Discovery
Audi,2022,Gasoline,Automatic,Black,Clean,Germany,2000.0,15007,33610.0,Q3 45
Ford,2020,Gasoline,Automatic,Gray,Accident Reported,USA,2300.0,98171,28616.0,Explorer Xlt
Mercedes-Benz,2018,Gasoline,Automatic,White,Clean,Germany,4000.0,115811,46900.0,Amg Glc
Subaru,2023,Gasoline,Manual,Black,Clean,Japan,2400.0,9334,29990.0,Brz
BMW,2016,Gasoline,Automatic,Black,Clean,Germany,3000.0,64502,28499.0,640 I
Kia,2020,Gasoline,Automatic,Black,Accident Reported,South Korea,3300.0,91732,36500.0,Stinger Gt2
Subaru,2004,Gasoline,Manual,Gold,Accident Reported,Japan,2500.0,196339,9999.0,Forester 2.5
Kia,2023,Gasoline,Automatic,Other,Clean,South Korea,2500.0,739,36998.0,Sportage X-Pro
